279,TZA
295,TZA
300,TZA
307,TZA
317,TZA
322,TZA
323,TZA
324,TZA
328,TZA
342,TZA
382,TZA
391,TZA
396,TZA
399,TZA
400,TZA
27,TGO
37,TGO
73,TGO
90,TGO
162,TGO
185,TGO
194,TGO
239,TGO
324,TGO
328,TGO
342,TGO
351,TGO
381,TGO
391,TGO
5,UGA
9,UGA
18,UGA
20,UGA
35,UGA
42,UGA
54,UGA
56,UGA
63,UGA
65,UGA
73,UGA
90,UGA
112,UGA
113,UGA
124,UGA
182,UGA
187,UGA
194,UGA
199,UGA
204,UGA
227,UGA
234,UGA
236,UGA
238,UGA
241,UGA
278,UGA
303,UGA
313,UGA
323,UGA
324,UGA
328,UGA
334,UGA
342,UGA
367,UGA
384,UGA
390,UGA
391,UGA
392,UGA
18,ZWE
33,ZWE
63,ZWE
73,ZWE
90,ZWE
109,ZWE
112,ZWE
194,ZWE
226,ZWE
227,ZWE
231,ZWE
232,ZWE
241,ZWE
270,ZWE
324,ZWE
328,ZWE
340,ZWE
342,ZWE
348,ZWE
382,ZWE
391,ZWE
18,ARM
24,ARM
194,ARM
199,ARM
215,ARM
227,ARM
362,ARM
125,BTN
153,BTN
166,BTN
328,BTN
342,BTN
346,BTN
18,BOL
37,BOL
40,BOL
50,BOL
55,BOL
73,BOL
89,BOL
112,BOL
127,BOL
150,BOL
153,BOL
171,BOL
178,BOL
192,BOL
193,BOL
194,BOL
204,BOL
219,BOL
227,BOL
241,BOL
246,BOL
272,BOL
283,BOL
304,BOL
313,BOL
328,BOL
335,BOL
340,BOL
341,BOL
2,CMR
32,CMR
63,CMR
73,CMR
87,CMR
130,CMR
131,CMR
194,CMR
204,CMR
227,CMR
230,CMR
274,CMR
279,CMR
297,CMR
324,CMR
328,CMR
342,CMR
381,CMR
382,CMR
390,CMR
391,CMR
37,CPV
194,CPV
334,CPV
64,COG
73,COG
145,COG
194,COG
219,COG
227,COG
328,COG
73,CIV
87,CIV
135,CIV
194,CIV
226,CIV
227,CIV
269,CIV
293,CIV
328,CIV
370,CIV
389,CIV
73,DJI
194,DJI
227,DJI
328,DJI
32,EGY
63,EGY
64,EGY
73,EGY
82,EGY
90,EGY
194,EGY
202,EGY
204,EGY
215,EGY
226,EGY
227,EGY
241,EGY
270,EGY
272,EGY
295,EGY
323,EGY
328,EGY
342,EGY
345,EGY
18,SLV
30,SLV
37,SLV
40,SLV
63,SLV
73,SLV
112,SLV
124,SLV
127,SLV
131,SLV
135,SLV
155,SLV
156,SLV
163,SLV
183,SLV
194,SLV
238,SLV
241,SLV
271,SLV
328,SLV
340,SLV
82,GEO
129,GEO
194,GEO
226,GEO
227,GEO
328,GEO
342,GEO
4,GHA
18,GHA
27,GHA
34,GHA
35,GHA
37,GHA
