city, id, country_id, latitude, longitude
Ngozi,77,10,29.852259,-2.86569
Kibaha,78,8,,
Kumi,79,4,33.945744,1.463114
Kitovu,80,4,,
Kisiizi,81,4,,
Thyolo,82,7,35.137755,-16.129687
Quelimane,83,9,36.881557,-17.88834
Ishaka,84,4,,
Kibuye,85,10,29.351928,-2.058725
Hoima,86,4,31.037094,1.4339
Kalungu,87,4,31.818384,-0.098513
Arua,88,4,31.115624,2.964329
Yumbe,89,4,31.254757,3.441272
Mubende,90,4,31.581263,0.52002
Kamuli,91,4,33.12931,0.927566
Nakaseke,92,4,32.200538,1.014124
Lira,93,4,32.873732,2.326277
Kisoro,94,4,29.674321,-1.190547
kilembe,95,4,,
Gikonko,96,3,,
Mugonero,97,3,,
Kibogora,98,3,,
Dessie,99,1,-80.911009,38.674064
Oromia,100,1,,
Mojo,101,1,-78.886776,35.252881
Dire Dawa,102,1,,
Awassa,103,1,,
Kalulushi,104,5,,
Singida,105,8,34.711781,-5.656528
Bungoma,106,2,34.560057,0.577572
Kabarnet,107,2,,
Nanyuki,108,2,37.05276,0.009848
Kitale,109,2,34.999411,1.021923
Naivasha,110,2,36.404511,-0.73006
Litein,111,2,,
Garissa,112,2,39.654902,-0.450306
Machakos,113,2,37.258818,-1.510316
Kiambu,114,2,,
Kerugoya,115,2,,
Muranga,116,2,,
Kilifi,117,2,39.854593,-3.61502
Diani,118,2,,
Busia,119,2,33.995743,0.394757
Kisubi,120,4,32.51438,0.118015
Kitui,121,2,,
Mbeya,122,8,33.745181,-8.287763
Naymira,123,2,,
Kikuyu,124,2,,
Mumias,125,2,,
Magadi,126,2,77.240306,12.965335
Afar,127,1,40.877089,11.66903
Uhabeshi,128,1,,
Zomba,129,7,35.457082,-15.436035
Bahar Dar,130,1,,
Mkele,131,1,,
Bahir Dar,132,1,,
Dissie,133,1,,
Arbaminich,134,1,,
Benishangule,135,1,,
Debre Tabr,136,1,,
Harar,137,1,42.12867,9.30285
Ambo,138,1,-89.308741,41.707755
Asasa,139,1,,
Bishoftu,140,1,,
Goba,141,1,39.985461,6.992538
Metu,142,1,147.860817,-37.888296
Nazret,143,1,39.265522,8.5444
Shashamane,144,1,,
Wollega,145,1,,
Chiro,146,1,45.089455,-12.956213
Fiche,147,1,-90.44814,38.970968
Woliso,148,1,,
Arba Minch,149,1,,
Bonga,150,1,119.764693,5.028782
Butajira,151,1,,
Dilla,152,1,-83.328145,34.969809
Aira,153,1,134.555928,7.394615
Hosanna,154,1,-84.225988,33.329887
Jinka,155,1,36.745689,5.495795
Jijiga,156,1,42.819291,9.343604
Adigrat,157,1,39.458426,14.285261
Axum,158,1,-78.610661,35.546376
Michew,159,1,,
Tigray,160,1,37.548633,13.569741
Almata,161,1,,
Somaliland,162,1,46.105259,9.745196
Debre Birhan,163,1,39.524392,9.673398
